Sede,Carrera,Carné,Nombre,Correo,Teléfono,Mentor
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Biotecnología,2021016040,Robert Linton Burkley,rlinton@estudiantec.cr,93075015,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Biotecnología,2021018135,Renee Custer Borum,rcuster@estudiantec.cr,83166913,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Empresas,2021019331,Robert Jordan Berland,rjordan@estudiantec.cr,75862072,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Empresas,2021018435,Jim Reese Boyles,jreese@estudiantec.cr,97645234,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computación,2021012329,Karen Hardaway Ferreira,khardaway@estudiantec.cr,80352920,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computación,2021012621,Jerry Jimenez Gordon,jjimenez@estudiantec.cr,80847509,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computación,2021017928,Josefa Morris Jessen,jmorris@estudiantec.cr,97358240,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Gestión en Turismo Sostenible,2021015949,Joshua Stanley Marsh,jstanley@estudiantec.cr,96427494,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Gestión en Turismo Sostenible,2021017181,Lillie Garrison Perry,lgarrison@estudiantec.cr,92359353,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Enseñanza de la Matemática con Entornos Tecnológicos,2021017518,Diane Leetch Williams,dleetch@estudiantec.cr,70433175,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Enseñanza de la Matemática con Entornos Tecnológicos,2021019870,Jeanne Reynolds Hebert,jreynolds@estudiantec.cr,62718813,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Enseñanza de la Matemática con Entornos Tecnológicos,2021013265,Dawn Tomasini Buttaro,dtomasini@estudiantec.cr,89878163,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Enseñanza de la Matemática con Entornos Tecnológicos,2021013079,Doris Barela Frey,dbarela@estudiantec.cr,98555540,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021019464,Bradley Morrow Glatt,bmorrow@estudiantec.cr,64105201,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021016540,Jesse Cabral Adair,jcabral@estudiantec.cr,64241707,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021014360,Annie Gile Church,agile@estudiantec.cr,68845325,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021011038,Martha Gilmer Barbee,mgilmer@estudiantec.cr,84503367,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021015364,David Sole Lemaire,dsole@estudiantec.cr,60951996,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021011639,Mary Cedillo Miller,mcedillo@estudiantec.cr,68625978,False
